link,price,currency,type,beds,baths,area,location,down_payment,plan_type
https://www.bayut.eg/en/property/details-501189313.html,"18,500,000",EGP,Chalet,2.0,2.0,136 Sq. M.,"Marassi, North Coast, Matruh",,
https://www.bayut.eg/en/property/details-501189028.html,"8,910,984",EGP,Apartment,2.0,2.0,135 Sq. M.,"Mountain View iCity Compound, New Cairo, Cairo",,
https://www.bayut.eg/en/property/details-501189027.html,"7,765,574",EGP,Apartment,2.0,2.0,129 Sq. M.,"Mountain View iCity Compound, New Cairo, Cairo",,
https://www.bayut.eg/en/property/details-501189022.html,"9,402,961",EGP,Apartment,3.0,2.0,149 Sq. M.,"Mountain View iCity Compound, New Cairo, Cairo",,
https://www.bayut.eg/en/property/details-501188377.html,"8,000,000",EGP,Apartment,3.0,3.0,170 Sq. M.,"5th Settlement, New Cairo, Cairo","EGP 1,600,000",
https://www.bayut.eg/en/property/details-501188214.html,"4,874,000",EGP,Apartment,3.0,2.0,165 Sq. M.,"New Capital City, Cairo","EGP 243,700",
https://www.bayut.eg/en/property/details-501189074.html,"12,500,000",EGP,Chalet,3.0,4.0,315 Sq. M.,"Hacienda Bay, North Coast, Matruh",,
https://www.bayut.eg/en/property/details-501188838.html,"8,700,000",EGP,Apartment,3.0,3.0,160 Sq. M.,"Sodic East, New Heliopolis, Cairo","EGP 7,750,000",
https://www.bayut.eg/en/property/details-501188385.html,"6,500,000",EGP,Apartment,3.0,4.0,145 Sq. M.,"The Address East Compound, New Cairo, Cairo",,
https://www.bayut.eg/en/property/details-501189093.html,"15,900,000",EGP,Apartment,3.0,2.0,175 Sq. M.,"Badya Palm Hills Compound, 6th of October, Giza","EGP 1,590,000",
https://www.bayut.eg/en/property/details-501187869.html,"4,874,000",EGP,Apartment,3.0,2.0,165 Sq. M.,"Al Maqsad, New Capital City, Cairo","EGP 243,700",
https://www.bayut.eg/en/property/details-501188352.html,"1,900,000",EGP,Apartment,2.0,1.0,124 Sq. M.,"Hadayek October, Giza",,
https://www.bayut.eg/en/property/details-501187885.html,"6,300,000",EGP,Chalet,3.0,2.0,151 Sq. M.,"Ain Sukhna, Suez","EGP 630,000",Off-Plan
https://www.bayut.eg/en/property/details-501188068.html,"1,900,000",EGP,Chalet,3.0,2.0,120 Sq. M.,"Ain Sukhna, Suez",,Off-Plan
https://www.bayut.eg/en/property/details-501189243.html,"8,690,000",EGP,Apartment,2.0,2.0,141 Sq. M.,"Sodic East, New Heliopolis, Cairo",,
https://www.bayut.eg/en/property/details-501187369.html,"9,499,192",EGP,Apartment,3.0,2.0,140 Sq. M.,"Sarai, Mostakbal City, Cairo","EGP 949,919",Off-Plan
https://www.bayut.eg/en/property/details-501187460.html,"5,200,000",EGP,Apartment,1.0,1.0,75 Sq. M.,"New Capital City, Cairo","EGP 260,000",
https://www.bayut.eg/en/property/details-501187458.html,"8,700,000",EGP,Apartment,2.0,2.0,130 Sq. M.,"New Capital City, Cairo","EGP 470,000",
https://www.bayut.eg/en/property/details-501187334.html,"23,562,000",EGP,Twin House,4.0,3.0,241 Sq. M.,"Solana, Sheikh Zayed, Giza","EGP 12,000,000",Off-Plan
https://www.bayut.eg/en/property/details-501187479.html,"15,700,000",EGP,Villa,4.0,4.0,530 Sq. M.,"Mountain View Sokhna, Ain Sukhna, Suez",,
https://www.bayut.eg/en/property/details-501186333.html,"3,665,000",EGP,Apartment,,1.0,54 Sq. M.,"Veranda Resort, Sahl Hasheesh, Red Sea","EGP 1,278,880",Off-Plan
https://www.bayut.eg/en/property/details-501186230.html,"5,600,000",EGP,Villa,5.0,4.0,390 Sq. M.,"EL Patio Prime, Shorouk City, Cairo",,
https://www.bayut.eg/en/property/details-501186384.html,"35,000,000",EGP,Villa,3.0,4.0,240 Sq. M.,"Solana, Sheikh Zayed, Giza","EGP 21,000,000",Off-Plan
https://www.bayut.eg/en/property/details-501186029.html,"6,950,000",EGP,Apartment,2.0,2.0,106 Sq. M.,"Zed East Compound, New Cairo, Cairo",,
https://www.bayut.eg/en/property/details-501186987.html,"10,500,000",EGP,Apartment,1.0,2.0,114 Sq. M.,"5th Settlement, New Cairo, Cairo","EGP 7,300,000",
https://www.bayut.eg/en/property/details-501186746.html,"7,500,000",EGP,Apartment,3.0,3.0,119 Sq. M.,"Rehab City Compound, New Cairo, Cairo",,
https://www.bayut.eg/en/property/details-501186743.html,"11,800,000",EGP,Apartment,2.0,3.0,150 Sq. M.,"Eastown Compound, New Cairo, Cairo",,
https://www.bayut.eg/en/property/details-501186465.html,"16,569,000",EGP,Apartment,2.0,2.0,129 Sq. M.,"ZED West Compound, Sheikh Zayed, Giza","EGP 828,450",
https://www.bayut.eg/en/property/details-501188167.html,"21,670,550",EGP,Townhouse,4.0,4.0,228 Sq. M.,"Palm Hills New Cairo Compound, New Cairo, Cairo","EGP 7,560,540",
